Policy.Number,Age,Years.of.Driving.Experience,Number.of.Vehicles,Gender,Married,Vehicle.Age,Fuel Type,Losses
153568,55,34,1,F,Married,2,D,523
188603,52,31,1,M,Married,10,G,314
160890,30,9,1,M,Single,13,G,201
114690,16,0,1,F,Married,15,G,303
117035,23,5,1,F,Single,6,D,788
161490,70,49,1,F,Married,14,G,100
173164,18,0,1,F,Married,15,G,250
143977,27,7,1,F,Married,1,G,489
163639,47,28,1,M,Married,1,D,562
149434,18,1,1,F,Single,12,G,415
149512,19,2,1,F,Single,9,D,778
157115,27,8,1,F,Single,7,G,356
175097,47,28,1,M,Married,13,G,357
196651,70,52,1,F,Single,7,G,328
195249,53,33,1,F,Married,6,G,301
127336,21,2,1,M,Married,3,D,770
137641,43,23,1,M,Married,0,D,689
165330,65,44,1,F,Married,8,G,151
192598,30,13,1,F,Single,1,D,696
146908,48,30,1,M,Married,12,G,237
180115,16,0,1,F,Married,15,G,310
177343,63,46,1,M,Single,9,G,411
117839,40,22,1,F,Single,2,D,629
149617,46,27,1,M,Married,10,G,393
126692,56,35,1,F,Married,5,D,572
111093,19,2,1,F,Married,14,G,282
135757,33,12,1,M,Single,10,G,455
117846,57,38,1,F,Single,4,G,478
155784,56,36,1,M,Single,14,G,193
164611,25,8,1,M,Married,14,G,410
121723,55,34,1,M,Single,12,D,509
133288,40,20,1,M,Single,8,G,424
190115,46,28,1,F,Single,13,G,344
127988,42,21,1,M,Married,11,G,182
132030,27,8,1,F,Married,15,G,161
101870,46,27,1,M,Married,10,G,356
140905,25,8,1,F,Married,15,G,329
198778,42,24,1,M,Married,9,G,325
126147,64,46,1,F,Single,7,G,455
160412,34,14,1,M,Single,2,D,762
103140,64,44,1,F,Single,14,G,290
149881,34,16,1,F,Single,1,G,459
144509,37,20,1,F,Married,14,G,259
168461,21,3,1,M,Single,15,D,587
168054,68,50,1,M,Married,0,G,159
146863,26,9,1,F,Single,11,G,148
120221,51,34,1,F,Married,8,G,309
129905,69,51,1,F,Single,5,G,255
134778,38,20,1,M,Single,7,D,517
197721,64,45,1,M,Single,0,G,105
136859,62,44,1,F,Married,4,G,40
190111,70,50,1,M,Married,2,G,302
130480,27,9,1,F,Married,6,G,311
196071,24,5,1,M,Married,11,G,336
173780,24,6,1,F,Married,15,G,198
148128,70,50,1,F,Married,5,G,82
134743,46,28,1,F,Single,8,G,408
100484,61,41,1,M,Single,11,G,36
134903,70,53,1,M,Single,12,G,320
195830,51,32,1,F,Single,0,D,590
113558,49,31,1,F,Single,0,D,526
167211,34,13,1,M,Single,5,D,939
115864,25,7,1,M,Married,12,D,554
162203,24,5,1,M,Single,15,G,311
167577,36,15,1,F,Single,4,D,878
142500,20,3,1,F,Single,14,G,157
159595,20,1,1,F,Single,12,D,520
168966,70,53,1,F,Single,8,G,103
133980,22,4,1,M,Married,12,D,547
124584,61,44,1,M,Single,6,G,330
122265,20,2,1,M,Married,14,D,655
141110,21,4,1,M,Married,12,G,480
117962,19,0,1,F,Married,6,D,517
171724,66,49,1,F,Single,0,G,72
139558,63,44,1,M,Single,3,G,131
105488,51,30,1,F,Single,0,D,648
168484,37,17,1,M,Married,12,G,341
189773,16,0,1,M,Married,14,D,512
153899,21,4,1,M,Married,15,G,252
129663,23,6,1,F,Married,15,G,188
101567,63,44,1,F,Single,0,G,154
163248,63,42,1,M,Married,5,G,94
148293,52,32,1,M,Married,13,G,208
184812,30,10,1,M,Married,0,G,397
105539,21,4,1,F,Married,7,G,296
173771,63,46,1,M,Married,2,G,76
137967,45,27,1,F,Married,3,G,449
102783,61,41,1,F,Married,15,G,131
184349,34,16,1,M,Married,11,G,147
190032,16,0,1,F,Single,11,D,640
112590,23,5,1,M,Married,9,G,420
137410,25,7,1,F,Married,15,G,396
186036,16,0,1,M,Married,10,G,478
176062,30,9,1,F,Married,8,G,293
100180,48,29,1,F,Married,5,D,528
110357,17,0,1,F,Married,11,G,247
145580,69,49,1,M,Married,0,G,169
104748,28,9,1,M,Single,9,G,440
146750,29,9,1,F,Married,6,G,290
192607,24,7,1,M,Single,14,D,682
146111,67,48,1,F,Married,0,G,162
143694,45,28,1,F,Single,15,G,238
148898,38,19,1,M,Single,2,D,726
141146,50,31,1,M,Single,4,D,729
166390,51,32,1,M,Single,7,G,445
180607,44,23,1,F,Single,9,G,427
179326,52,33,1,M,Married,13,G,265
185143,21,2,1,M,Married,11,G,317
136163,20,1,1,F,Married,11,G,356
154374,70,49,1,M,Single,2,D,639
199927,60,40,1,M,Married,13,G,152
199878,33,15,1,M,Married,0,D,599
188214,16,0,1,F,Married,8,G,382
101548,19,2,1,M,Married,6,G,340
166046,62,45,1,F,Married,6,G,97
138579,35,17,1,M,Married,12,G,168
127036,16,0,1,F,Single,15,D,622
121820,34,14,1,F,Married,12,G,197
169545,26,8,1,M,Single,7,G,490
169825,23,4,1,M,Married,13,G,308
144994,48,31,1,F,Single,4,D,581
139461,33,14,1,F,Married,8,G,325
163644,33,15,1,M,Married,1,D,547
129990,57,40,1,F,Single,7,G,379
131839,61,41,1,F,Married,7,G,123
181986,70,49,1,M,Married,1,G,402
154666,61,40,1,M,Married,10,G,39
182160,24,5,1,M,Married,15,D,605
177869,39,21,1,M,Single,8,G,352
110303,52,32,1,F,Single,14,G,323
169168,25,7,1,M,Married,14,G,180
185206,67,46,1,F,Married,7,G,300
152972,25,6,1,M,Married,11,D,584
113499,56,38,1,F,Single,6,G,484
195644,26,8,1,M,Married,9,G,425
103619,63,43,1,F,Married,13,G,41
130134,62,42,1,F,Single,9,G,127
114614,52,31,1,M,Married,7,G,332
188548,53,35,1,M,Married,9,G,382
135088,34,15,1,M,Married,14,G,202
151309,17,0,1,M,Married,8,G,449
196582,17,0,1,F,Married,13,G,479
155991,64,46,1,M,Married,8,G,207
146137,68,51,1,M,Single,6,G,48
109884,18,0,1,M,Married,15,G,333
135730,31,12,1,M,Single,2,D,801
190584,18,1,1,F,Married,14,G,182
147410,67,46,1,F,Married,6,G,208
159859,69,49,1,F,Married,14,G,45
161857,49,30,1,F,Single,7,G,390
177000,22,4,1,M,Married,8,G,456
120501,59,40,1,M,Single,2,D,780
161478,17,0,1,M,Single,13,D,853
118010,62,43,1,M,Married,3,G,298
191306,44,23,1,F,Single,4,D,517
101617,25,6,1,F,Single,14,G,227
165122,54,34,1,M,Married,9,G,396
150893,22,3,1,F,Single,14,G,238
171784,23,5,1,M,Married,7,D,624
192894,60,39,1,F,Single,10,G,188
184178,21,2,1,M,Married,0,D,544
117590,19,0,1,M,Single,13,G,326
103030,24,6,1,F,Married,12,G,183
139116,66,47,1,F,Single,12,G,156
133134,31,13,1,F,Single,5,D,503
127011,42,25,1,M,Single,14,G,263
105550,37,19,1,M,Married,10,G,324
137242,32,12,1,F,Married,9,G,312
103067,56,38,1,F,Single,12,G,206
128105,57,39,1,F,Single,11,G,368
183795,67,48,1,F,Married,14,G,166
172178,24,5,1,M,Married,14,G,452
180064,55,38,1,M,Married,6,G,355
110870,36,17,1,M,Married,9,G,375
196933,17,0,1,M,Single,7,D,842
156933,23,4,1,M,Single,11,D,566
157911,61,42,1,M,Married,12,G,342
163306,48,29,1,F,Single,10,G,407
161277,25,6,1,F,Single,12,D,559
117086,16,0,1,M,Married,12,D,547
158744,41,21,1,M,Single,15,G,170
195112,21,4,1,M,Married,4,D,1066
192661,25,8,1,F,Married,14,G,251
116768,55,36,1,F,Married,14,G,189
178402,22,3,1,F,Single,14,D,567
157188,19,0,1,F,Married,0,G,345
119640,28,11,1,M,Married,11,G,315
106186,21,2,1,F,Single,13,D,656
136386,43,22,1,F,Married,0,G,462
172482,45,26,1,F,Single,7,G,378
190872,18,0,1,M,Single,9,D,685
112220,19,2,1,F,Married,11,G,144
162140,35,16,1,F,Single,10,G,402
172063,63,46,1,F,Single,3,G,253
159881,39,20,1,M,Married,15,G,144
158441,16,0,1,F,Single,11,G,227
139083,23,4,1,M,Married,6,D,644
126513,17,0,1,M,Married,6,G,325
157712,17,0,1,M,Married,11,G,168
123461,20,2,1,F,Married,12,G,164
110371,56,35,1,F,Single,13,G,287
178117,26,5,1,F,Married,7,G,279
180764,17,0,1,M,Married,13,D,546
120396,53,34,1,M,Single,14,G,258
160342,31,10,1,M,Married,14,G,269
100931,19,1,1,F,Married,12,G,387
111247,26,8,1,F,Single,3,D,667
146672,29,12,1,F,Single,12,G,364
186335,47,28,1,M,Married,15,G,124
134430,24,5,1,M,Single,15,D,727
173346,18,1,1,F,Married,15,G,257
100739,68,50,1,M,Married,7,G,97
124356,18,0,1,F,Married,12,G,229
122304,67,49,1,F,Married,6,G,118
148403,70,53,1,M,Single,10,G,264
169949,28,11,1,M,Single,4,D,836
165319,69,51,1,M,Single,3,G,309
103054,28,9,1,M,Married,15,G,184
139550,63,45,1,M,Married,12,G,138
153354,25,8,1,F,Single,12,D,672
140938,55,38,1,F,Single,14,G,191
149303,25,6,1,F,Married,9,G,446
166431,57,38,1,F,Married,2,D,587
128867,16,0,1,M,Married,12,G,201
186334,22,4,1,F,Single,10,G,484
129404,50,31,1,M,Married,10,G,361
138395,24,5,1,M,Married,13,G,269
191140,45,26,1,F,Single,10,G,383
133591,49,29,1,F,Single,6,G,418
104826,62,45,1,M,Married,14,G,124
164938,16,0,1,M,Single,15,D,673
139800,50,33,1,F,Married,10,G,293
134774,43,23,1,M,Married,10,G,364
124523,17,0,1,M,Single,12,D,703
122527,19,1,1,M,Married,13,D,510
105418,65,47,1,F,Single,8,G,42
172805,17,0,1,M,Married,12,G,260
105262,38,21,1,F,Single,9,G,386
158249,48,28,1,F,Married,10,G,335
170144,46,25,1,M,Single,15,G,275
191160,25,8,1,F,Married,12,G,216
191628,31,14,1,M,Single,8,G,405
198045,44,27,1,M,Single,1,D,685
155792,41,20,1,F,Single,15,G,151
132277,17,0,1,F,Single,5,D,673
147909,29,9,1,F,Married,14,G,219
182915,32,14,1,F,Single,13,G,281
143075,61,40,1,F,Married,1,G,146
104525,28,8,1,F,Single,1,D,809
154713,17,0,1,M,Single,11,D,1024
150038,55,34,1,F,Single,9,G,476
183774,20,3,1,M,Married,13,G,412
131000,70,53,1,M,Married,0,G,157
142771,46,27,1,F,Married,15,G,284
193862,37,19,1,F,Married,1,G,361
175991,65,48,1,M,Married,7,G,239
112584,17,0,1,F,Single,12,G,235
178839,35,16,1,M,Single,9,D,523
178579,42,23,1,F,Married,7,G,292
188144,25,6,1,F,Married,9,G,225
168426,32,12,1,F,Married,0,G,420
121837,26,5,1,F,Single,6,G,396
185498,24,7,1,M,Single,14,D,648
187994,18,0,1,M,Single,12,G,390
144980,51,32,1,M,Single,13,G,236
165791,47,30,1,M,Single,15,G,156
136578,21,4,1,F,Single,10,D,772
104486,20,3,1,M,Single,12,D,739
127936,66,48,1,F,Single,3,G,476
142200,65,47,1,F,Single,6,G,47
132773,30,12,1,F,Married,8,G,309
174649,24,7,1,F,Single,8,D,615
107218,35,18,1,M,Married,11,G,281
110966,17,0,1,F,Single,0,D,659
134067,41,22,1,F,Married,8,G,313
198001,41,24,1,F,Married,7,G,338
112751,39,22,1,F,Single,14,G,272
110330,16,0,1,M,Married,14,G,443
152850,41,20,1,F,Married,14,G,136
137449,28,9,1,M,Married,2,D,669
146254,66,45,1,M,Married,9,G,37
177554,23,4,1,M,Married,14,D,695
161868,64,45,1,F,Married,1,G,318
157353,66,47,1,M,Single,8,G,230
127572,25,7,1,M,Single,9,D,984
110946,29,11,1,M,Single,0,D,676
179609,64,47,1,F,Single,11,G,111
108007,22,5,1,F,Single,14,G,447
139453,69,51,1,M,Single,4,G,229
165686,24,5,1,F,Married,14,G,442
108319,18,1,1,F,Single,10,D,698
144855,69,48,1,M,Single,7,G,236
163531,19,2,1,F,Married,15,G,294
150077,70,51,1,M,Married,2,G,345
191011,38,21,1,F,Single,0,D,837
191637,44,25,1,F,Single,11,G,340
118853,64,44,1,F,Single,9,G,292
190042,43,25,1,M,Married,7,G,399
113232,18,0,1,M,Single,13,D,810
129426,55,38,1,M,Married,6,G,356
161923,35,17,1,F,Single,11,G,376
143315,70,52,1,M,Married,15,G,163
112537,22,5,1,F,Married,7,G,391
189651,26,7,1,F,Married,6,G,284
175053,27,7,1,M,Married,9,G,346
149333,32,15,1,F,Single,10,G,402
106020,25,7,1,M,Married,1,D,777
172144,55,35,1,M,Married,1,D,645
181343,23,6,1,F,Single,13,G,386
165969,52,33,1,M,Married,9,G,321
175204,53,35,1,M,Single,7,G,436
188905,32,11,1,F,Married,9,G,303
174333,53,32,1,F,Married,4,D,557
167470,17,0,1,F,Single,4,D,1037
120965,20,1,1,F,Single,12,G,302
177195,69,52,1,M,Single,15,G,117
140290,17,0,1,M,Single,13,D,964
117642,63,42,1,M,Single,13,G,96
104411,29,11,1,F,Married,5,G,419
182169,62,43,1,F,Single,1,G,342
154432,61,42,1,F,Married,13,G,102
106539,66,46,1,F,Single,15,G,41
195625,54,35,1,F,Married,8,G,307
196635,48,27,1,F,Single,0,D,687
193413,67,50,1,M,Single,10,G,167
191094,66,47,1,M,Married,4,D,551
179271,23,5,1,M,Single,14,D,587
189951,26,6,1,F,Married,12,G,339
126236,38,20,1,M,Married,0,D,648
130761,69,50,1,M,Married,14,G,95
170986,20,2,1,M,Single,13,G,494
157919,21,2,1,M,Single,7,D,1021
127745,18,1,1,M,Married,9,G,471
191285,34,15,1,F,Single,6,G,403
123166,51,33,1,M,Single,10,G,422
155724,23,6,1,F,Married,14,G,127
177504,18,0,1,M,Married,4,D,1204
136090,60,39,1,M,Married,11,G,276
196704,46,26,1,F,Married,0,D,518
164592,64,47,1,F,Single,9,G,43
145321,21,2,1,M,Single,13,D,931
104756,22,3,1,M,Single,11,D,946
103377,44,25,1,F,Single,7,G,364
139687,36,15,1,F,Single,6,G,420
165487,66,49,1,F,Single,9,G,79
126149,21,4,1,F,Single,12,G,421
133180,64,46,1,M,Married,4,G,390
186820,44,26,1,M,Single,8,G,462
185310,47,30,1,M,Married,15,G,147
117930,18,0,1,M,Single,10,D,1032
133784,40,22,1,F,Married,10,G,373
108804,22,4,1,M,Single,12,D,874
109203,24,7,1,M,Single,0,D,1492
148258,70,52,1,F,Single,7,G,140
108325,61,41,1,M,Married,9,G,159
109970,20,3,1,M,Single,14,D,731
189460,22,4,1,F,Single,15,G,470
146438,65,48,1,M,Single,6,G,234
129176,38,17,1,F,Single,1,D,545
140722,60,41,1,F,Married,8,G,286
114230,31,10,1,F,Married,11,G,269
105121,47,28,1,M,Married,10,G,359
115299,62,44,1,M,Married,14,G,32
116313,38,17,1,F,Single,6,G,425
111655,23,4,1,F,Single,11,G,222
107539,34,16,1,F,Single,12,G,230
102106,65,44,1,M,Single,8,G,184
131977,61,42,1,M,Single,12,G,496
174776,62,43,1,F,Married,6,G,58
115117,51,30,1,F,Single,8,G,421
170043,34,15,1,F,Married,7,G,368
137679,41,23,1,M,Married,9,G,404
167670,63,45,1,M,Married,12,G,102
191667,70,52,1,F,Single,3,G,321
118085,53,33,1,M,Married,15,G,204
152351,25,6,1,F,Married,5,G,482
191927,16,0,1,M,Married,6,G,333
102450,21,2,1,F,Single,11,G,293
154817,68,50,1,M,Single,8,G,219
113307,27,9,1,F,Single,7,G,430
174930,19,0,1,M,Single,15,D,960
135471,57,36,1,F,Single,2,D,862
124520,23,5,1,F,Single,11,D,523
126999,50,32,1,F,Married,7,G,302
147581,60,42,1,F,Single,8,G,241
127409,69,52,1,M,Single,9,G,152
108545,26,8,1,M,Single,8,G,436
156939,41,22,1,F,Married,1,G,381
158928,66,47,1,M,Single,3,G,74
170024,53,33,1,M,Married,11,G,159
127337,29,8,1,F,Single,2,D,603
172679,25,6,1,F,Married,1,G,497
100393,58,41,1,F,Single,7,G,392
138394,20,2,1,F,Single,15,G,244
143776,18,0,1,F,Married,14,G,273
111978,61,44,1,M,Single,4,G,317
156872,41,21,1,F,Married,15,G,186
145921,68,48,1,F,Single,4,G,106
159310,68,47,1,M,Single,7,G,237
143703,63,42,1,F,Single,9,G,34
142662,56,37,1,M,Married,10,G,346
139500,22,3,1,M,Single,7,D,1360
199067,65,48,1,F,Married,14,G,148
184418,53,34,1,F,Married,4,G,477
129661,32,13,1,M,Married,13,G,307
150868,25,8,1,F,Single,12,D,602
111483,62,41,1,F,Single,5,G,464
179318,58,41,1,F,Married,12,G,118
197615,62,45,1,F,Married,14,G,27
125364,20,1,1,M,Married,6,D,512
103001,70,52,1,F,Married,12,G,109
122543,20,3,1,M,Single,14,D,651
137055,58,39,1,M,Single,1,D,531
107360,68,48,1,F,Married,13,G,189
148198,23,6,1,M,Single,11,D,558
134164,22,4,1,M,Single,13,G,335
128866,66,45,1,F,Single,11,G,37
146036,27,10,1,F,Single,6,G,363
180309,49,30,1,F,Married,0,D,540
158991,16,0,1,M,Married,12,G,358
157357,46,25,1,M,Single,13,G,331
184611,26,7,1,M,Married,8,G,335
185622,63,44,1,M,Single,0,G,262
195602,34,15,1,M,Single,1,D,735
117004,66,46,1,M,Married,1,G,406
145524,62,44,1,M,Single,9,G,352
174530,70,50,1,M,Single,10,G,297
158963,61,43,1,F,Single,6,G,125
169392,28,11,1,F,Married,7,G,375
136257,22,5,1,F,Single,11,D,534
155439,50,29,1,F,Single,10,G,358
191625,20,1,1,F,Single,13,G,236
130894,26,8,1,M,Single,6,G,481
176085,18,1,1,M,Single,1,D,1570
163579,70,52,1,M,Married,8,G,190
165231,23,6,1,M,Single,14,D,802
175849,43,24,1,M,Single,10,G,476
166862,25,7,1,F,Single,5,D,865
145985,68,49,1,F,Married,7,G,33
161523,18,0,1,F,Married,13,G,259
188537,20,2,1,F,Single,12,G,476
148910,53,34,1,F,Married,9,G,289
114902,48,29,1,F,Married,10,G,342
150766,43,25,1,F,Married,4,G,440
110593,67,48,1,M,Single,6,G,330
179759,19,0,1,M,Single,13,D,845
121258,59,42,1,F,Single,1,G,474
116173,49,32,1,M,Single,7,G,397
157449,23,4,1,M,Married,9,D,771
199294,55,35,1,M,Married,8,G,346
107896,68,47,1,M,Single,15,G,45
196818,49,30,1,M,Married,10,G,308
108840,63,43,1,M,Married,3,G,118
195376,51,34,1,M,Married,9,G,417
122051,62,43,1,F,Single,12,G,25
173821,20,3,1,F,Single,9,D,716
187100,54,35,1,M,Single,1,D,679
143345,65,46,1,F,Single,15,G,233
160012,30,11,1,M,Single,10,G,483
136159,56,36,1,M,Married,12,G,193
170878,20,1,1,F,Married,12,G,179
195494,67,50,1,F,Married,3,G,407
107555,20,1,1,M,Married,15,G,395
110367,68,50,1,M,Single,7,G,399
111541,21,3,1,M,Married,13,G,171
168352,25,7,1,M,Single,12,D,1265
134503,19,1,1,F,Single,14,D,554
144971,62,43,1,F,Married,11,G,88
